tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0871334	tvEpisode	Home Games	Home Games	0	1978	\N	\N	Drama
tt0871335	tvEpisode	Episode #3.4	Episode #3.4	0	1971	\N	\N	Comedy
tt0871336	tvEpisode	Dudley and Nestor Do Nothing	Dudley and Nestor Do Nothing	0	2006	\N	\N	Adventure,Animation,Comedy
tt0871337	tvEpisode	Episode #1.1	Episode #1.1	0	1989	\N	24	Comedy,Sci-Fi
tt0871338	tvEpisode	Capítulo 166	Capítulo 166	0	2006	\N	60	Comedy,Romance,Sport
tt0871339	tvEpisode	Mavis Staples/Funky Poets	Mavis Staples/Funky Poets	0	1994	\N	\N	Music,Talk-Show
tt0871340	tvEpisode	All's Well That Ends Al	All's Well That Ends Al	0	2006	\N	23	Comedy,Sport
tt0871341	tvEpisode	Breakdown	Breakdown	0	2006	\N	\N	Comedy,Sport
tt0871342	tvEpisode	Heal Me	Heal Me	0	2006	\N	23	Comedy,Sport
tt0871343	tvEpisode	Little League	Little League	0	2006	\N	23	Comedy,Sport
tt0871344	tvEpisode	Meet the Team	Meet the Team	0	2006	\N	23	Comedy,Sport
tt0871345	tvEpisode	Steinbach	Steinbach	0	2006	\N	23	Comedy,Sport
tt0871346	tvEpisode	Under Construction	Under Construction	0	2006	\N	23	Comedy,Sport
tt0871347	tvEpisode	Uneven Steven	Uneven Steven	0	2006	\N	23	Comedy,Sport
tt0871348	tvEpisode	Montreal	Montreal	0	1999	\N	\N	Comedy,Documentary
tt0871349	tvEpisode	Portland	Portland	0	2000	\N	\N	Comedy,Documentary
tt0871350	tvEpisode	Episode #3.29	Episode #3.29	0	2006	\N	\N	Talk-Show
tt0871351	tvEpisode	Episode #3.30	Episode #3.30	0	2006	\N	\N	Talk-Show
tt0871352	tvEpisode	Episode #3.32	Episode #3.32	0	2006	\N	\N	Talk-Show
tt0871353	tvEpisode	Episode #3.33	Episode #3.33	0	2006	\N	\N	Talk-Show
tt0871354	tvEpisode	Episode #3.34	Episode #3.34	0	2006	\N	\N	Talk-Show
tt0871355	tvEpisode	Best of 'A'	Best of 'A'	0	2006	\N	\N	Talk-Show
tt0871356	tvEpisode	Best of 'B'	Best of 'B'	0	2006	\N	\N	Talk-Show
tt0871357	tvEpisode	Best of 'C'	Best of 'C'	0	2006	\N	\N	Talk-Show
tt0871358	tvEpisode	Best of 'D'	Best of 'D'	0	2006	\N	\N	Talk-Show
tt0871359	tvEpisode	The Super Globetrotters vs. Attila the Hun	The Super Globetrotters vs. Attila the Hun	0	1979	\N	\N	Animation,Family,Sport
tt0871360	tvEpisode	The Super Globetrotters vs. Bullmoose	The Super Globetrotters vs. Bullmoose	0	1979	\N	\N	Animation,Family,Sport
tt0871361	tvEpisode	The Super Globetrotters vs. Bwana Bob	The Super Globetrotters vs. Bwana Bob	0	1979	\N	\N	Animation,Family,Sport
tt0871362	tvEpisode	The Super Globetrotters vs. Merlo the Magician	The Super Globetrotters vs. Merlo the Magician	0	1979	\N	\N	Animation,Family,Sport
tt0871363	tvEpisode	The Super Globetrotters vs. Movie Man	The Super Globetrotters vs. Movie Man	0	1979	\N	23	Animation,Family,Sport
tt0871364	tvEpisode	The Super Globetrotters vs. Museum Man	The Super Globetrotters vs. Museum Man	0	1979	\N	\N	Animation,Family,Sport
tt0871365	tvEpisode	The Super Globetrotters vs. Robo and the Globots	The Super Globetrotters vs. Robo and the Globots	0	1979	\N	\N	Animation,Family,Sport
tt0871366	tvEpisode	The Super Globetrotters vs. Tattoo Man	The Super Globetrotters vs. Tattoo Man	0	1979	\N	\N	Animation,Family,Sport
tt0871367	tvEpisode	The Super Globetrotters vs. The Facelift	The Super Globetrotters vs. The Facelift	0	1979	\N	\N	Animation,Family,Sport
tt0871368	tvEpisode	The Super Globetrotters vs. The Phantom Cowboy	The Super Globetrotters vs. The Phantom Cowboy	0	1979	\N	\N	Animation,Family,Sport
tt0871369	tvEpisode	The Super Globetrotters vs. The Time Lord	The Super Globetrotters vs. The Time Lord	0	1979	\N	\N	Animation,Family,Sport
tt0871370	tvEpisode	The Super Globetrotters vs. Transylvania Terrors	The Super Globetrotters vs. Transylvania Terrors	0	1979	\N	\N	Animation,Family,Sport
tt0871371	tvEpisode	The Super Globetrotters vs. Whaleman	The Super Globetrotters vs. Whaleman	0	1979	\N	\N	Animation,Family,Sport
tt0871372	tvEpisode	Episode #1.6	Episode #1.6	0	2006	\N	\N	Game-Show,Reality-TV
tt0871373	tvEpisode	Episode #2.7	Episode #2.7	0	2006	\N	\N	\N
tt0871374	tvEpisode	Episode #2.9	Episode #2.9	0	2005	\N	\N	Comedy,Drama
tt0871375	tvEpisode	Episode dated 27 September 2006	Episode dated 27 September 2006	0	2006	\N	\N	News,Talk-Show
tt0871376	tvEpisode	Episode #14.168	Episode #14.168	0	2006	\N	\N	Comedy,Music,Talk-Show
tt0871377	tvEpisode	Stan Getz	Stan Getz	0	1955	\N	\N	Comedy,Music,Talk-Show
tt0871378	tvEpisode	Ethel Waters	Ethel Waters	0	1955	\N	\N	Comedy,Music,Talk-Show
tt0871379	tvEpisode	Art Tatum, Vic Perry	Art Tatum, Vic Perry	0	1955	\N	\N	Comedy,Music,Talk-Show
tt0871380	tvEpisode	Hollywood Show Final	Hollywood Show Final	0	1955	\N	\N	Comedy,Music,Talk-Show
tt0871381	tvEpisode	Episode dated 1 April 2006	Episode dated 1 April 2006	0	2006	\N	\N	Music
tt0871382	tvEpisode	Episode dated 8 April 2006	Episode dated 8 April 2006	0	2006	\N	\N	Music
